id;name
1;Bar à bière
2;Bar à vin
3;Salon de thé
4;Bar Brasserie
5;Bar à cocktail
6;Bar karaoké
7;Pub
8;Bar à tapas
9;Café
10;Bar à jeux
11;Bar gaming
12;Bar LGBTQI+
14;Café concert
15;Bar caché
16;Speakeasy
17;Bar d'hôtel
18;Beer Hall
19;Rooftop
20;Bar à spectacles
21;Bar chic
22;Club
23;Péniche
25;Bar sportif
26;Bar à shooters
28;Bar Hip-Hop
29;Bar à rhum
30;Bar alternatif
31;Bar italien
32;Bar de nuit
33;Bar insolite
34;Bar latino
35;Bar à spiritueux
36;Irish Pub
37;Guinguette
38;Bar de plage
39;Coffee Shop
40;Bar asiatique
41;Bar à cidre
42;Brasserie artisanale
43;Bar de quartier
44;Bar éphémère
45;Comedy club
46;Caveau
47;Soirée privée
48;Bar à chicha
50;Bar indie
51;Bar PMU
